hotel,market_segment,bookings,cancellation_rate,avg_adr
City Hotel,Aviation,237,21.940928270042196,100.14210970464136
City Hotel,Corporate,2986,21.46684527796383,83.11997990622908
City Hotel,Direct,6093,17.331363860167407,119.47968160183817
City Hotel,Groups,13975,68.85867620751341,84.9218847942755
City Hotel,Offline TA/TO,16747,42.83155191974682,93.01765987938138
City Hotel,Online TA,38748,37.3980592546712,118.91953339527201
Resort Hotel,Corporate,2309,15.201385881333913,51.563183196188824
Resort Hotel,Direct,6513,13.480730846000307,111.67083985874406
Resort Hotel,Groups,5836,42.39204934886909,66.44696367374914
Resort Hotel,Offline TA/TO,7472,15.230192719486082,74.66257093147752
Resort Hotel,Online TA,17729,35.24169439900728,113.4324801173219
